iter	Passed	Remaining
182	2519188	11246869
183	2532440	11230824
184	2547294	11221863
185	2560457	11205441
186	2573505	11188553
187	2588618	11180628
188	2601714	11163969
189	2614783	11147233
190	2629761	11138623
191	2642877	11122109
192	2655984	11105593
193	2671217	11097943
194	2684329	11081463
195	2697448	11065043
196	2712482	11056462
197	2725593	11040031
198	2738721	11023696
199	2753855	11015422
200	2766934	10998908
201	2780193	10983142
202	2795291	10974617
203	2808382	10958197
204	2821597	10942294
205	2836586	10933250
206	2849800	10917351
207	2862908	10901074
208	2878148	10892897
209	2891286	10876743
210	2904352	10860351
211	2919553	10851925
212	2932810	10836254
213	2946016	10820416
214	2960975	10811004
215	2974154	10795080
216	2987250	10778881
217	3002327	10769816
218	3015446	10753715
219	3028631	10737876
220	3043839	10729189
221	3057029	10713375
222	3070156	10697360
223	3085414	10688757
224	3098562	10672825
225	3111713	10656929
226	3126791	10647620
227	3139915	10631645
228	3152992	10615533
229	3168312	10606959
230	3181442	10591035
231	3194622	10575301
232	3209878	10566423
233	3223069	10550730
234	3236232	10534968
235	3251392	10525693
236	3264524	10509840
237	3277689	10494115
238	3292888	10484887
239	3305959	10468872
240	3319062	10452981
241	3334048	10443011
242	3347160	10427162
243	3360322	10411491
244	3375299	10401431
245	3388429	10385674
246	3401523	10369827
247	3416845	10360755
248	3430096	10345391
249	3443280	10329842
250	3458212	10319527
251	3471375	10303924
252	3484470	10288140
253	3499652	10278505
254	3512814	10262928
255	3525901	10247150
256	3540775	10236561
257	3553872	10220826
258	3566989	10205169
259	3582374	10195988
260	3595498	10180358
261	3608759	10165131
262	3623988	10155434
263	3637100	10139796
264	3650229	10124222
265	3665404	10114312
266	3678517	10098702
267	3691683	10083253
268	3706926	10073468
269	3720127	10058121
270	3733265	10042620
271	3748262	10032115
272	3761462	10016788
273	3774592	10001291
274	3789605	9990779
275	3802710	9975226
276	3815809	9959674
277	3831089	9949808
278	3844221	9934349
279	3857276	9918711
280	3872420	9908435
281	3885657	9893269
282	3898820	9877929
283	3914210	9868221
284	3927395	9852939
285	3940518	9837518
286	3955693	9827209
287	3968905	9812015
288	3982048	9796665
289	3997174	9786184
290	4010265	9770714
291	4023381	9755322
292	4038541	9744875
293	4051661	9729501
294	4064773	9714119
295	4079911	9703574
296	4093082	9688340
297	4106190	9672971
298	4121133	9661920
299	4134267	9646623
300	4147440	9631432
301	4162862	9621449
302	4176061	9606320
303	4189163	9590979
304	4204233	9580138
305	4217402	9564959
306	4230534	9549707
307	4245700	9539040
308	4258927	9524008
309	4272080	9508823
310	4287246	9498112
311	4300446	9483036
312	4313639	9467955
313	4328905	9457418
314	4342027	9442187
315	4355165	9427004
316	4370130	9415769
317	4383252	9400561
318	4396456	9385537
319	4411633	9374721
320	4424943	9359926
321	4438068	9344753
322	4453019	9333418
323	4466170	9318305
324	4479389	9303346
325	4494848	9293029
326	4508011	9277955
327	4521174	9262893
328	4536250	9251745
329	4549424	9236711
330	4562595	9221681
331	4578015	9211187
332	4591117	9196022
333	4604281	9180991
334	4619423	9169899
335	4632622	9154945
336	4645820	9139997
337	4660948	9128840
338	4674092	9113790
339	4687233	9098746
340	4702422	9087671
341	4715601	9072707
342	4728764	9057719
343	4743668	9046065
344	4756894	9031206
345	4769972	9016074
346	4785184	9004973
347	4798388	8990084
348	4811575	8975174
349	4826583	8963655
350	4839661	8948547
351	4852758	8933487
352	4867871	8922132
353	4881085	8907292
354	4894217	8892310
355	4909382	8881016
356	4922620	8866232
357	4935759	8851277
358	4951000	8840086
359	4964155	8825165
360	4977352	8810326
361	4992418	8798792
362	5005552	8783847
363	5018695	8768929
364	5033718	8757291
365	5046764	8742209
366	5059916	8727321
367	5075121	8715968
368	5088325	8701175
369	5101506	8686348
370	5116546	8674683
371	5129699	8659815
372	5142852	8644955
373	5158020	8633478
374	5171134	8618558
375	5184288	8603712
376	5199470	8592228
377	5212690	8577495
378	5225890	8562739
379	5241123	8551306
380	5254195	8536343
381	5267379	8521572
382	5282314	8509628
383	5295445	8494777
384	5308526	8479853
385	5323724	8468308
386	5336859	8453474
387	5350046	8438733
388	5364949	8426693
389	5378119	8411929
390	5391249	8397112
391	5406479	8385560
392	5419626	8370771
393	5432797	8356028
394	5447992	8344394
395	5461161	8329650
396	5474280	8314839
397	5489513	8303233
398	5502606	8288387
399	5515773	8273660
400	5530631	8261466
401	5543876	8246860
402	5556991	8232069
403	5572296	8220517
404	5585484	8205834
405	5598617	8191080
406	5613586	8179008
407	5626741	8164291
408	5639852	8149518
409	5655014	8137703
410	5668138	8122952
411	5681271	8108222
412	5696282	8096169
413	5709370	8081379
414	5722432	8066562
415	5737509	8054580
416	5750707	8039958
417	5763850	8025265
418	5778893	8013214
419	5791997	7998473
420	5805169	7983831
421	5820601	7972293
422	5833742	7957610
423	5846863	7942908
424	5862181	7931186
425	5875358	7916562
426	5888506	7901906
427	5903513	7889742
428	5916619	7875034
429	5929742	7860355
430	5944827	7848276
431	5957963	7833618
432	5971075	7818937
433	5986045	7806686
434	5999259	7792141
435	6012420	7777534
436	6027613	7765552
437	6040852	7751047
438	6053995	7736427
439	6068901	7724056
440	6082046	7709442
441	6095148	7694780
442	6110254	7682645
443	6123414	7668059
444	6136561	7653464
445	6151642	7641278
446	6164807	7626707
447	6177953	7612121
448	6193148	7600055
449	6206273	7585445
450	6219441	7570894
451	6234668	7558845
452	6247969	7544457
453	6261151	7529930
454	6276245	7517701
455	6289355	7503091
456	6302572	7488614
457	6317658	7476355
458	6330826	7461823
459	6343972	7447272
460	6359222	7435186
461	6372400	7420674
462	6385567	7406155
463	6400726	7393942
464	6413850	7379376
465	6426985	7364828
466	6442060	7352501
467	6455294	7338070
468	6468421	7323522
469	6483550	7311237
470	6496684	7296701
471	6509859	7282216
472	6525128	7270068
473	6538289	7255569
474	6551496	7241127
475	6566450	7228613
476	6579575	7214083
477	6592698	7199557
478	6607958	7187362
479	6621144	7172906
480	6634275	7158396
481	6649321	7145950
482	6662471	7131465
483	6675681	7117048
484	6690639	7104493
485	6703752	7089976
486	6716855	7075455
487	6732158	7063247
488	6745410	7048885
489	6758607	7034469
490	6773779	7022105
491	6786887	7007599
492	6800017	6993121
493	6815091	6980640
494	6828271	6966216
495	6841505	6951852
496	6856747	6939524
497	6869900	6925080
498	6883040	6910627
499	6898185	6898185
500	6911363	6883773
501	6924583	6869408
502	6939778	6856997
503	6952941	6842577
504	6966068	6828126
505	6981146	6815585
506	6994295	6801159
507	7007430	6786724
508	7022695	6774349
509	7035827	6759912
510	7048884	6745409
511	7063895	6732775
512	7077179	6718492
513	7090282	6704041
514	7105236	6691339
515	7118287	6676842
516	7131476	6662482
517	7146564	6649892
518	7159813	6635588
519	7172979	6621211
520	7188098	6608635
521	7201206	6594208
522	7214415	6579877
523	7229691	6567429
524	7242977	6553170
525	7256194	6538851
526	7271288	6526222
527	7284508	6511909
528	7297662	6497541
529	7313051	6485158
530	7326326	6470898
531	7339450	6456509
532	7354597	6443896
533	7367720	6429509
534	7380842	6415125
535	7396135	6402625
536	7409272	6388255
537	7422372	6373858
538	7437294	6361025
539	7450447	6346677
540	7463542	6332284
541	7478787	6319713
542	7491963	6305391
543	7505124	6291060
544	7520257	6278380
545	7533339	6263985
546	7546456	6249625
547	7561548	6236897
548	7574670	6222543
549	7587933	6208309
550	7603145	6195666
551	7616235	6181292
552	7629464	6167035
553	7644636	6154346
554	7657777	6140019
555	7670911	6125692
556	7686020	6112939
557	7699204	6098652
558	7712397	6084377
559	7727635	6071713
560	7740739	6057369
561	7753895	6043071
562	7769241	6030476
563	7782449	6016219
564	7795624	6001941
565	7810604	5989049
566	7823725	5974732
567	7836854	5960424
568	7852066	5947699
569	7865231	5933419
570	7878370	5919126
571	7893248	5906137
572	7906393	5891849
573	7919585	5877601
574	7934835	5864878
575	7948089	5850676
576	7961214	5836384
577	7976345	5823560
578	7989516	5809303
579	8002607	5794991
580	8017686	5782118
581	8030791	5767819
582	8044062	5753643
583	8059095	5740725
584	8072191	5726426
585	8085397	5712208
586	8100502	5699331
587	8113638	5685066
588	8126786	5670813
589	8141829	5657881
590	8154925	5643594
591	8168083	5629354
592	8183366	5616576
593	8196515	5602332
594	8209733	5588137
595	8224849	5575233
596	8237962	5560969
597	8251050	5546692
598	8266203	5533802
599	8279377	5519584
600	8292457	5505308
601	8307469	5492313
602	8320639	5478099
603	8333745	5463846
604	8348741	5450831
605	8361880	5436602
606	8374988	5422356
607	8390012	5409350
608	8403067	5395073
609	8416235	5380872
610	8431468	5367988
611	8444624	5353781
612	8457834	5339611
613	8472983	5326663
614	8486084	5312426
615	8499264	5298243
616	8514386	5285267
617	8527544	5271070
618	8540817	5256948
619	8555767	5243857
620	8568917	5229661
621	8582107	5215492
622	8597435	5202621
623	8610551	5188409
624	8623706	5174223
625	8638731	5161158
626	8651936	5147005
627	8665086	5132822
628	8680196	5119797
629	8693358	5105623
630	8706507	5091444
631	8721618	5078410
632	8734778	5064239
633	8748017	5050117
634	8762818	5036895
635	8775977	5022729
636	8789103	5008547
637	8804296	4995541
638	8817581	4981450
639	8830758	4967301
640	8845634	4954107
641	8858743	4939922
642	8871854	4925741
643	8886944	4912658
644	8900146	4898529
645	8913403	4884434
646	8928529	4871361
647	8941733	4857237
648	8954951	4843124
649	8970027	4830014
650	8983176	4815865
651	8996381	4801749
652	9011400	4788600
653	9024516	4774438
654	9037653	4760290
655	9053202	4747411
656	9066402	4733296
657	9079594	4719181
658	9094464	4705937
659	9107585	4691786
660	9120761	4677667
661	9136071	4664640
662	9149197	4650497
663	9162314	4636352
664	9177498	4623251
665	9190621	4609110
666	9203772	4594987
667	9218740	4581769
668	9231963	4567683
669	9245177	4553594
670	9260518	4540552
671	9273745	4526470
672	9286896	4512355
673	9301980	4499177
674	9315148	4485071
675	9328360	4470989
676	9343562	4457859
677	9356731	4443757
678	9369913	4429664
679	9384947	4416445
680	9398069	4402326
681	9411211	4388218
682	9426483	4375102
683	9439630	4360998
684	9452888	4346948
685	9468136	4333811
686	9481347	4319740
687	9494576	4305679
688	9509711	4292482
689	9522860	4278386
690	9536040	4264307
691	9551034	4251038
692	9564151	4236932
693	9577391	4222884
694	9592701	4209746
695	9605825	4195647
696	9618991	4181570
697	9634065	4168320
698	9647260	4154256
699	9660393	4140168
700	9675600	4126968
701	9688951	4112973
702	9702147	4098915
703	9717234	4085655
704	9730381	4071578
705	9743482	4057484
706	9758843	4044329
707	9771991	4030256
708	9785152	4016190
709	9800444	4002998
710	9813573	3988921
711	9826745	3974863
712	9841907	3961609
713	9855042	3947538
714	9868124	3933448
715	9883344	3920209
716	9896525	3906160
717	9909724	3892120
718	9924781	3878809
719	9937872	3864728
720	9951000	3850664
721	9966321	3837447
722	9979465	3823391
723	9992634	3809346
724	10007489	3795944
725	10020689	3781912
726	10033823	3767859
727	10049332	3754695
728	10062445	3740634
729	10075709	3726632
730	10091025	3713386
731	10104214	3699357
732	10117374	3685319
733	10132534	3672008
734	10145786	3658004
735	10158936	3643966
736	10174075	3630640
737	10187236	3616607
738	10200497	3602611
739	10215794	3589333
740	10229032	3575329
741	10242196	3561302
742	10257435	3547995
743	10270543	3533950
744	10283687	3519919
745	10298610	3506497
746	10311818	3492490
747	10324917	3478448
748	10340386	3465202
749	10353553	3451184
750	10366868	3437217
751	10382064	3423872
752	10395361	3409899
753	10408523	3395884
754	10423466	3382449
755	10436543	3368408
756	10449670	3354385
757	10465023	3341076
758	10478169	3327060
759	10491288	3313038
760	10506144	3299564
761	10519314	3285560
762	10532435	3271542
763	10547579	3258152
764	10560808	3244170
765	10574010	3230180
766	10589093	3216764
767	10602214	3202752
768	10615472	3188782
769	10630770	3175424
770	10643907	3161419
771	10657093	3147431
772	10672271	3134030
773	10685437	3120037
774	10698587	3106041
775	10713705	3092615
776	10726871	3078626
777	10740050	3064641
778	10755206	3051220
779	10768336	3037223
780	10781482	3023232
781	10796670	3009813
782	10809803	2995820
783	10823002	2981847
784	10838028	2968377
785	10851159	2954386
786	10864411	2940431
787	10879572	2926991
788	10892786	2913026
789	10905902	2899037
790	10921150	2885613
791	10934354	2871648
792	10947504	2857671
793	10962518	2844179
794	10975750	2830224
795	10988972	2816269
796	11004011	2802778
797	11017152	2788803
798	11030281	2774826
799	11045558	2761389
800	11058749	2747429
801	11071986	2733482
802	11087072	2719991
803	11100196	2706018
804	11113260	2692032
805	11128762	2678635
806	11141918	2664671
807	11155082	2650712
808	11170256	2637229
809	11183407	2623268
810	11196566	2609310
811	11211742	2595822
812	11224987	2581885
813	11238167	2567935
814	11253447	2554463
815	11266665	2540522
816	11279851	2526576
817	11294768	2513017
818	11307836	2499045
819	11320958	2485088
820	11336025	2471557
821	11349084	2457587
822	11362181	2443628
823	11377136	2430067
824	11390249	2416113
825	11403351	2402158
826	11418586	2388652
827	11431795	2374720
828	11444920	2360773
829	11459961	2347220
830	11473197	2333297
831	11486287	2319346
832	11501500	2305822
833	11514724	2291899
834	11527953	2277978
835	11543297	2264474
836	11556469	2250543
837	11569630	2236611
838	11584661	2223039
839	11597845	2209113
840	11610983	2195179
841	11626229	2181643
842	11639416	2167720
843	11652599	2153797
844	11667779	2140243
845	11680891	2126308
846	11694076	2112389
847	11709462	2098865
848	11722668	2084950
849	11735887	2071038
850	11750722	2057411
851	11763851	2043485
852	11777037	2029571
853	11792325	2016018
854	11805511	2002104
855	11818772	1988204
856	11834108	1974652
857	11847361	1960752
858	11860504	1946834
859	11875391	1933203
860	11888600	1919297
861	11901748	1905384
862	11917053	1891815
863	11930182	1877899
864	11943400	1863998
865	11958380	1850372
866	11971499	1836458
867	11984650	1822550
868	11999914	1808962
869	12013006	1795047
870	12026108	1781134
871	12041282	1767527
872	12054389	1753616
873	12067527	1739712
874	12082646	1726092
875	12095815	1712193
876	12109003	1698298
877	12124012	1684657
878	12137125	1670753
879	12150247	1656851
880	12165552	1643247
881	12178739	1629355
882	12191978	1615471
883	12207022	1601826
884	12220135	1587927
885	12233231	1574027
886	12248371	1560390
887	12261522	1546498
888	12274689	1532610
889	12290075	1518998
890	12303217	1505107
891	12316365	1491219
892	12331306	1477547
893	12344459	1463660
894	12357529	1449766
895	12372783	1436126
896	12385963	1422245
897	12399143	1408365
898	12414352	1394715
899	12427496	1380832
900	12440640	1366951
901	12455688	1353278
902	12468834	1339398
903	12481937	1325515
904	12497133	1311853
905	12510230	1297970
906	12523336	1284090
907	12538345	1270405
908	12551483	1256529
909	12564635	1242656
910	12579755	1228977
911	12592983	1215112
912	12606049	1201233
913	12621426	1187574
914	12634591	1173705
915	12647865	1159847
916	12662949	1146155
917	12676043	1132282
918	12689232	1118419
919	12704680	1104754
920	12717824	1090888
921	12731014	1077027
922	12746037	1063320
923	12759101	1049449
924	12772286	1035590
925	12787536	1021898
926	12800748	1008041
927	12813858	994178
928	12828850	980461
929	12842111	966610
930	12855257	952752
931	12870619	939058
932	12883768	925200
933	12896910	911344
934	12912159	897636
935	12925257	883778
936	12938390	869923
937	12953259	856185
938	12966414	842333
939	12979626	828486
940	12994873	814768
941	13007961	800914
942	13021120	787066
943	13036343	773342
944	13049491	759494
945	13062770	745654
946	13077968	731924
947	13091162	718080
948	13104320	704236
949	13119310	690490
950	13132446	676645
951	13145572	662801
952	13160958	649071
953	13174107	635229
954	13187231	621387
955	13202317	607638
956	13215534	593801
957	13228663	579962
958	13243730	566207
959	13256951	552372
960	13270145	538538
961	13285095	524775
962	13298248	510939
963	13311437	497107
964	13326893	483358
965	13340100	469527
966	13353281	455696
967	13368295	441927
968	13381458	428096
969	13394585	414265
970	13409775	400497
971	13422935	386668
972	13436116	372841
973	13451029	359062
974	13464171	345235
975	13477324	331409
976	13492497	317633
977	13505685	303808
978	13518938	289987
979	13533899	276202
980	13547103	262380
981	13560273	248558
982	13575673	234777
983	13588856	220957
984	13601997	207137
985	13616968	193344
986	13630097	179525
987	13643298	165708
988	13658520	151914
989	13671620	138097
990	13684799	124281
991	13700268	110486
992	13713477	96671
993	13726585	82856
994	13741618	69053
995	13754718	55239
996	13767853	41427
997	13783003	27621
998	13796200	13810
999	13809322	0
